2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 22:00:06,960 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.948717, cost: 0.028445, cost_chiquare:0.027320, cost_l1:0.001091, cost_ltsv:0.000034
2019-09-05 22:00:11,505 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 2.143589, cost: 0.028444, cost_chiquare:0.027318, cost_l1:0.001091, cost_ltsv:0.000035
2019-09-05 22:00:15,954 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.771561, cost: 0.028443, cost_chiquare:0.027316, cost_l1:0.001091, cost_ltsv:0.000036
2019-09-05 22:00:20,446 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.028442, cost_chiquare:0.027314, cost_l1:0.001091, cost_ltsv:0.000037
2019-09-05 22:00:24,985 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.771561, cost: 0.028441, cost_chiquare:0.027313, cost_l1:0.001091, cost_ltsv:0.000037
2019-09-05 22:00:29,434 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.464100, cost: 0.028440, cost_chiquare:0.027312, cost_l1:0.001091, cost_ltsv:0.000037
2019-09-05 22:00:33,860 INFO cv :5/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 90.658509
2019-09-05 22:00:34,526 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.391430, cost_chiquare:28.683938, cost_l1:0.005751, cost_ltsv:0.000206
2019-09-05 22:00:38,918 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.143589, cost: 0.031747, cost_chiquare:0.030668, cost_l1:0.001068, cost_ltsv:0.000034
2019-09-05 22:00:43,423 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 1.771561, cost: 0.030790, cost_chiquare:0.029673, cost_l1:0.001094, cost_ltsv:0.000027
