2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:06:47,376 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.464100, cost: 0.029727, cost_chiquare:0.028606, cost_l1:0.001080, cost_ltsv:0.000041
2019-09-05 16:06:52,040 INFO cv :3/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 92.262865
2019-09-05 16:06:52,791 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.221245, cost_chiquare:29.902424, cost_l1:0.005800, cost_ltsv:0.000203
2019-09-05 16:06:57,597 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031264, cost_chiquare:0.030118, cost_l1:0.001073, cost_ltsv:0.000034
2019-09-05 16:07:04,837 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 1.948717, cost: 0.030396, cost_chiquare:0.029279, cost_l1:0.001096, cost_ltsv:0.000027
2019-09-05 16:07:13,430 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.030092, cost_chiquare:0.028991, cost_l1:0.001070, cost_ltsv:0.000027
2019-09-05 16:07:22,364 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.029966, cost_chiquare:0.028856, cost_l1:0.001081, cost_ltsv:0.000028
2019-09-05 16:07:31,330 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.029927, cost_chiquare:0.028818, cost_l1:0.001080, cost_ltsv:0.000028
2019-09-05 16:07:40,263 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.357948, cost: 0.029914, cost_chiquare:0.028807, cost_l1:0.001078, cost_ltsv:0.000029
2019-09-05 16:07:48,962 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 1.948717, cost: 0.029906, cost_chiquare:0.028796, cost_l1:0.001081, cost_ltsv:0.000029
2019-09-05 16:07:57,396 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.464100, cost: 0.029897, cost_chiquare:0.028789, cost_l1:0.001080, cost_ltsv:0.000029
2019-09-05 16:08:05,936 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.771561, cost: 0.029890, cost_chiquare:0.028781, cost_l1:0.001080, cost_ltsv:0.000029
2019-09-05 16:08:14,250 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 2.357948, cost: 0.029884, cost_chiquare:0.028774, cost_l1:0.001080, cost_ltsv:0.000030
2019-09-05 16:08:19,023 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.143589, cost: 0.029879, cost_chiquare:0.028768, cost_l1:0.001079, cost_ltsv:0.000032
2019-09-05 16:08:23,716 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.948717, cost: 0.029875, cost_chiquare:0.028762, cost_l1:0.001080, cost_ltsv:0.000033
2019-09-05 16:08:28,745 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 2.593742, cost: 0.029872, cost_chiquare:0.028757, cost_l1:0.001079, cost_ltsv:0.000035
2019-09-05 16:08:33,224 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.464100, cost: 0.029869, cost_chiquare:0.028753, cost_l1:0.001079, cost_ltsv:0.000037
2019-09-05 16:08:38,208 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.029867, cost_chiquare:0.028750, cost_l1:0.001080, cost_ltsv:0.000038
2019-09-05 16:08:43,096 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.771561, cost: 0.029866, cost_chiquare:0.028747, cost_l1:0.001080, cost_ltsv:0.000039
2019-09-05 16:08:47,783 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.331000, cost: 0.029865, cost_chiquare:0.028745, cost_l1:0.001080, cost_ltsv:0.000040
2019-09-05 16:08:52,696 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 2.143589, cost: 0.029864, cost_chiquare:0.028743, cost_l1:0.001080, cost_ltsv:0.000040
2019-09-05 16:08:57,359 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.610510, cost: 0.029863, cost_chiquare:0.028742, cost_l1:0.001079, cost_ltsv:0.000041
2019-09-05 16:09:02,050 INFO cv :4/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 129.829408
2019-09-05 16:09:02,753 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.819562, cost_chiquare:29.734592, cost_l1:0.005803, cost_ltsv:0.000204
2019-09-05 16:09:06,879 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031083, cost_chiquare:0.029931, cost_l1:0.001075, cost_ltsv:0.000034
2019-09-05 16:09:10,796 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030175, cost_chiquare:0.029057, cost_l1:0.001097, cost_ltsv:0.000027
2019-09-05 16:09:14,696 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.029840, cost_chiquare:0.028737, cost_l1:0.001071, cost_ltsv:0.000027
2019-09-05 16:09:18,590 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.029700, cost_chiquare:0.028589, cost_l1:0.001082, cost_ltsv:0.000028
2019-09-05 16:09:22,493 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.593742, cost: 0.029657, cost_chiquare:0.028545, cost_l1:0.001082, cost_ltsv:0.000030
2019-09-05 16:09:26,305 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.029645, cost_chiquare:0.028534, cost_l1:0.001080, cost_ltsv:0.000030
2019-09-05 16:09:30,179 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.029639, cost_chiquare:0.028526, cost_l1:0.001082, cost_ltsv:0.000031
2019-09-05 16:09:34,071 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 2.357948, cost: 0.029632, cost_chiquare:0.028520, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:09:37,845 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.771561, cost: 0.029626, cost_chiquare:0.028514, cost_l1:0.001081, cost_ltsv:0.000031
2019-09-05 16:09:41,844 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 2.593742, cost: 0.029620, cost_chiquare:0.028508, cost_l1:0.001082, cost_ltsv:0.000031
