2019-09-09 18:16:30,023 INFO <module> :Start solver w/o CV
2019-09-09 19:25:08,405 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.133168, cost_chiquare:0.040122, cost_l1:0.091642, cost_ltsv:0.001399
2019-09-09 19:25:13,456 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 150/1000,  L: 2.593742, cost: 0.132722, cost_chiquare:0.042475, cost_l1:0.089140, cost_ltsv:0.001105
2019-09-09 19:25:17,407 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.75, Current iteration: 0/1000,  L: 3.452271, cost: 59.091753, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.363582
2019-09-09 19:25:22,426 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.75, Current iteration: 50/1000,  L: 3.138428, cost: 0.136362, cost_chiquare:0.051395, cost_l1:0.082069, cost_ltsv:0.002827
2019-09-09 19:25:27,368 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.75, Current iteration: 100/1000,  L: 2.593742, cost: 0.133849, cost_chiquare:0.041149, cost_l1:0.090750, cost_ltsv:0.001924
2019-09-09 19:25:32,704 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.50, Current iteration: 0/1000,  L: 3.452271, cost: 59.359531, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.646550
2019-09-09 19:25:37,897 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.50, Current iteration: 50/1000,  L: 2.593742, cost: 0.136993, cost_chiquare:0.051360, cost_l1:0.082313, cost_ltsv:0.003443
2019-09-09 19:25:43,534 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.50, Current iteration: 100/1000,  L: 2.593742, cost: 0.134715, cost_chiquare:0.042404, cost_l1:0.089818, cost_ltsv:0.002491
2019-09-09 19:25:49,207 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.50, Current iteration: 150/1000,  L: 2.593742, cost: 0.134631, cost_chiquare:0.042334, cost_l1:0.089827, cost_ltsv:0.002474
2019-09-09 19:25:54,746 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.50, Current iteration: 200/1000,  L: 2.593742, cost: 0.134597, cost_chiquare:0.043175, cost_l1:0.088994, cost_ltsv:0.002427
2019-09-09 19:25:59,327 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.25, Current iteration: 0/1000,  L: 3.452271, cost: 59.835714, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:1.149747
2019-09-09 19:26:04,775 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.25, Current iteration: 50/1000,  L: 2.853117, cost: 0.139302, cost_chiquare:0.050838, cost_l1:0.083146, cost_ltsv:0.005256
2019-09-09 19:26:09,999 INFO mfista_func_healpix :l1:-3.00, ltsv:-1.25, Current iteration: 100/1000,  L: 2.593742, cost: 0.136410, cost_chiquare:0.044223, cost_l1:0.088500, cost_ltsv:0.003689
